city,diurn_mean,ndvi,avg_temp,max_temp,humidity_perc_rlt,temp
iq,9.85179,0.22831,25.19667,33.4,92.4185714286,19.74524
iq,10.94048,0.25601,25.32095,33.8,93.5814285714,19.55714
iq,9.42619,0.1705,24.86952,32.25,95.8485714286,19.96429
iq,9.82381,0.20692,23.78413,31.05,87.2342857143,16.45952
iq,10.49,0.31655,24.88952,33.65,88.1614285714,18.40048
iq,12.35571,0.22082,24.93905,32.6,74.7285714286,16.13238
iq,11.56071,0.35258,25.77175,34.9,83.2757142857,18.54429
iq,12.00833,0.37523,25.84873,33.95,82.49,18.50286
iq,13.58571,0.35994,26.23667,35.55,74.74,17.66619
iq,12.3619,0.32299,27.08794,35.75,74.1514285714,18.49333
iq,13.9,0.29235,28.36841,37.8,57.7871428571,16.79619
iq,13.31607,0.32761,27.55167,36.1,71.66,18.58905
iq,11.94048,0.32299,25.82778,36.6,77.4871428571,17.31524
iq,13.55893,0.17092,27.13048,35.9,71.4628571429,17.9219
iq,11.82321,0.28676,26.52429,35.4,82.3714285714,19.22095
iq,12.39286,0.20204,26.80571,35.1,81.5228571429,19.20476
iq,13.60179,0.27882,27.37881,37.4,75.54,18.89524
iq,12.9619,0.36351,27.54714,35.9,76.9414285714,19.1181
iq,12.83095,0.27266,27.28714,37.35,79.4285714286,19.79762
iq,12.56071,0.25051,28.24357,36.3,74.8028571429,20.17571
iq,13.23571,0.09887,29.09214,37.6,67.1857142857,19.52095
iq,12.24643,0.2328,28.16238,37.3,66.0428571429,18.62619
iq,11.79464,0.2871,27.18143,35.6,78.8857142857,19.57048
iq,13.72857,0.19727,27.75714,36.6,68.5571428571,18.56857
iq,10.81071,0.32591,26.57222,36.1,80.4085714286,19.18952
iq,12.64167,0.2428,28.20381,36.6,60.6414285714,17.52714
iq,8.97143,0.25521,26.09254,32.9,94.9557142857,21.22095
iq,11.15536,0.26177,26.15286,35.0,82.3471428571,19.10143
iq,10.95714,0.17826,26.55143,34.35,84.1757142857,19.80381
iq,7.53095,0.19654,24.03698,30.0,94.0571428571,19.10524
iq,7.40476,0.32516,23.94349,31.1,95.4071428571,18.95714
iq,8.09821,0.20448,24.33,32.4,89.08,18.6519
iq,7.49643,0.14901,24.05429,32.2,94.8842857143,19.17286
iq,8.79286,0.13287,24.66063,32.3,92.8428571429,19.09381
iq,8.43286,0.26291,25.3019,32.65,93.3142857143,20.22524
iq,8.36786,0.22106,25.83714,33.05,94.0928571429,20.80524
iq,10.19286,0.19819,25.32286,35.25,94.0942857143,19.83667
iq,11.02381,0.20777,26.62825,35.4,82.8014285714,19.67143
iq,8.575,0.13503,25.16762,32.2,95.9242857143,20.21571
iq,8.81857,0.27509,25.0981,33.75,96.7371428571,20.03524
iq,9.21571,0.36847,25.3119,33.25,94.6028571429,20.0419
iq,9.27,0.31609,25.51762,32.8,94.6157142857,20.2019
iq,10.5881,0.24066,26.2673,34.55,88.1485714286,19.99905
iq,9.36964,0.2521,25.85357,33.9,92.1928571429,20.11524
iq,7.94286,0.21965,25.3119,32.4,95.82,20.49143
iq,8.00476,0.30029,25.54032,32.55,98.3414285714,21.31833
iq,10.2381,0.28276,25.43778,33.4,94.71,20.14857
iq,10.725,0.32726,25.36524,33.3,91.4657142857,19.5081
iq,10.23095,0.26155,25.15032,34.3,89.4871428571,18.85952
iq,8.97571,0.26332,24.26619,31.5,94.0171428571,18.8581
iq,9.73214,0.09644,24.57381,32.7,88.1714285714,18.34381
iq,11.5256,0.27736,23.76524,32.7,79.3228571429,15.42905
iq,9.9619,0.23375,24.44857,32.6,84.8571428571,17.73333
iq,10.325,0.34365,24.72667,33.85,88.3228571429,17.92238
iq,10.74762,0.27024,25.75032,33.85,84.2457142857,18.75714
iq,10.83571,0.27199,25.46794,33.5,90.8142857143,19.53238
iq,11.87571,0.18874,25.66333,34.55,82.2257142857,17.67952
iq,13.40893,0.21662,26.59095,34.6,66.6642857143,16.4819
iq,12.78214,0.29701,26.43548,35.05,69.4757142857,17.41333
iq,11.94,0.22178,26.6181,35.0,78.3885714286,18.62619
iq,12.63333,0.23146,26.8219,36.7,76.9557142857,18.65905
iq,12.79643,0.26945,26.86262,36.25,81.9871428571,19.36429
iq,12.65536,0.32154,26.72071,36.85,78.9571428571,18.59381
iq,11.83929,0.35225,26.3031,35.5,84.0328571429,19.25048
iq,12.98393,0.33211,26.95476,35.4,79.3657142857,18.89667
iq,13.73429,0.32294,27.5181,36.75,78.33,19.23619
iq,11.90893,0.44801,27.3231,38.05,74.4185714286,18.64667
iq,12.70952,0.33372,28.0473,38.3,72.1628571429,18.92905
iq,10.9119,0.18846,26.90746,36.3,90.2657142857,20.94143
iq,10.82571,0.21427,26.49619,35.8,85.5728571429,19.8381
iq,10.5625,0.32871,26.59643,35.55,89.0042857143,20.47238
iq,9.94,0.27048,27.28857,36.0,87.4814285714,20.66619
iq,10.40179,0.36058,27.06024,35.1,88.8371428571,21.0681
iq,9.84048,0.33457,26.80825,36.15,87.3771428571,20.61286
iq,10.26071,0.30031,27.13357,35.5,87.24,20.65905
iq,9.37286,0.29595,26.55952,33.9,96.1185714286,21.58524
iq,8.44286,0.21099,26.43929,34.6,93.9471428571,21.57571
iq,7.575,0.31669,26.31286,33.5,96.3557142857,21.8881
iq,7.69643,0.3757,25.65143,32.35,94.5885714286,20.64286
iq,11.66667,0.37428,28.08365,36.1,76.6028571429,19.9319
iq,12.44762,0.2156,27.86143,36.2,75.2042857143,19.38762
iq,11.00714,0.12664,26.91143,35.75,81.5271428571,19.79571
iq,7.46429,0.15225,25.01952,31.85,96.2671428571,20.59238
iq,7.45536,0.17785,24.41024,32.6,96.6414285714,19.6181
iq,9.2125,0.29862,26.33,32.65,93.4385714286,20.94714
iq,8.75429,0.11809,25.91238,33.0,92.05,20.58667
iq,7.70714,0.14882,25.31857,32.1,97.1571428571,20.88
iq,11.08571,0.28434,26.78238,35.75,91.2214285714,21.10333
iq,9.93214,0.24923,26.48619,35.35,89.7785714286,20.74476
iq,9.57321,0.23716,26.0481,33.05,94.1657142857,21.03429
iq,7.35,0.22862,24.57381,31.45,98.4571428571,20.52952
iq,8.29286,0.23753,25.51286,31.7,97.7757142857,20.99571
iq,7.27143,0.23388,24.95429,30.85,97.2442857143,20.74381
iq,9.86429,0.21634,25.9619,33.3,92.6157142857,20.69857
iq,9.00714,0.26117,25.88841,32.75,95.2514285714,21.05143
iq,9.30625,0.19175,25.78063,32.15,93.8457142857,20.51
iq,9.78393,0.19825,25.76381,32.7,95.22,20.70619
iq,7.39286,0.15119,25.07889,31.5,97.2428571429,20.60524
iq,10.325,0.2057,25.79048,33.5,94.8042857143,20.28619
iq,8.71607,0.19454,25.53214,32.6,93.7885714286,20.3981
iq,10.1881,0.29487,24.88429,33.3,94.3457142857,19.53667
iq,10.23571,0.34136,26.00952,33.4,94.1442857143,20.4319
iq,9.72381,0.20799,24.85159,33.2,85.7371428571,17.79524
iq,10.76429,0.20104,24.28857,32.45,82.1671428571,16.93905
iq,9.1,0.10594,23.26786,32.35,85.5657142857,16.59952
iq,9.70952,0.20381,24.35063,33.2,85.6728571429,17.8881
iq,10.08571,0.10256,24.52857,31.7,84.6685714286,17.99857
iq,11.78571,0.27026,25.65857,34.0,83.4971428571,17.58429
iq,10.87,0.31988,25.53,34.65,87.0342857143,19.08333
iq,13.12857,0.30706,25.56286,34.5,80.47,17.35667
iq,13.30952,0.33308,26.49111,35.5,69.06,17.10667
iq,12.2244,0.31582,24.84556,34.35,82.1414285714,17.26571
iq,11.975,0.28683,26.59952,36.2,77.7657142857,18.67905
iq,11.20179,0.20033,27.1581,35.4,77.0828571429,19.6219
