week_start_date,city,humidity_perc_rlt,temp,ndvi_and_diurn
1990-04-30,sj,73.3657142857,21.57933,2.45745
1990-05-07,sj,77.3685714286,22.94276,2.26446
1990-05-14,sj,82.0528571429,23.76152,2.26308
1990-05-21,sj,80.3371428571,24.00905,2.40464
1990-05-28,sj,80.46,24.71133,3.21605
1990-06-04,sj,79.8914285714,24.72676,2.3564
1990-06-11,sj,82.0,24.19286,2.2812
1990-06-18,sj,83.3757142857,24.70448,2.36798
1990-06-25,sj,82.7685714286,24.71467,2.38008
1990-07-02,sj,81.2814285714,25.192,2.2112
1990-07-09,sj,81.4671428571,24.18952,2.40608
1990-07-16,sj,82.1442857143,24.65067,2.46423
1990-07-23,sj,80.7428571429,24.22086,2.20261
1990-07-30,sj,80.5842857143,24.87381,2.81394
1990-08-06,sj,79.65,25.02457,2.53868
1990-08-13,sj,84.1785714286,25.04419,2.22116
1990-08-20,sj,80.9471428571,25.03991,2.46237
1990-08-27,sj,83.3485714286,25.18971,2.24866
1990-09-03,sj,77.1728571429,24.89171,2.89014
1990-09-10,sj,81.5514285714,25.62419,2.84388
1990-09-17,sj,81.6371428571,24.84152,2.58169
1990-09-24,sj,77.0485714286,24.92743,2.59901
1990-10-01,sj,78.52,25.35533,2.83614
1990-10-08,sj,84.11,25.14352,2.54342
1990-10-15,sj,85.6214285714,24.5841,2.38988
1990-10-22,sj,85.5028571429,24.04924,2.41824
1990-10-29,sj,82.7871428571,24.74552,2.73834
1990-11-05,sj,81.7157142857,25.01638,2.79098
1990-11-12,sj,75.7285714286,24.45743,2.81634
1990-11-19,sj,78.1514285714,23.80552,2.59316
1990-11-26,sj,81.3857142857,22.95752,2.36253
1990-12-03,sj,79.9085714286,23.04648,1.98961
1990-12-10,sj,68.7228571429,21.48514,2.78734
1990-12-17,sj,80.0828571429,22.85524,2.50474
1990-12-24,sj,69.6814285714,21.48648,2.14622
1991-01-01,sj,72.9385714286,20.84248,2.57216
1991-01-08,sj,76.6285714286,21.802,2.13726
1991-01-15,sj,78.5,21.98714,2.273
1991-01-22,sj,71.5971428571,21.43552,2.7152
1991-01-29,sj,71.7842857143,21.53019,2.82934
1991-02-05,sj,75.7942857143,21.85,2.46476
1991-02-12,sj,78.8957142857,21.70267,3.12234
1991-02-19,sj,79.74,22.33486,2.83046
1991-02-26,sj,77.9771428571,22.03305,2.41704
1991-03-05,sj,77.3157142857,22.38829,2.75664
1991-03-12,sj,78.1385714286,22.23429,3.03054
1991-03-19,sj,77.8828571429,22.31714,2.45514
1991-03-26,sj,80.0014285714,22.70238,2.46061
1991-04-02,sj,75.6628571429,21.42381,2.38355
1991-04-09,sj,79.6285714286,21.98705,2.38756
1991-04-16,sj,73.3514285714,21.46667,2.14012
1991-04-23,sj,78.4471428571,22.90057,2.6717
1991-04-30,sj,79.36,23.648,2.71883
1991-05-07,sj,79.5414285714,23.47895,2.39992
1991-05-14,sj,80.0671428571,23.07933,2.32687
1991-05-21,sj,81.3014285714,23.54362,2.19344
1991-05-28,sj,81.0885714286,23.99314,2.38566
1991-06-04,sj,76.0742857143,24.03267,2.65015
1991-06-11,sj,77.0357142857,24.55457,2.66948
1991-06-18,sj,81.4214285714,25.03257,2.38016
1991-06-25,sj,82.7457142857,24.53829,2.42884
1991-07-02,sj,81.6942857143,24.51829,2.26895
1991-07-09,sj,77.8771428571,24.61438,2.34131
1991-07-16,sj,78.2414285714,24.92933,2.3835
1991-07-23,sj,81.4828571429,24.8159,2.07655
1991-07-30,sj,81.8971428571,25.024,2.22157
1991-08-06,sj,81.96,24.86257,2.26272
1991-08-13,sj,79.1971428571,25.35238,1.97383
1991-08-20,sj,80.2557142857,25.28648,2.53198
1991-08-27,sj,81.5942857143,24.95057,2.41008
1991-09-03,sj,82.31,25.30886,2.48059
1991-09-10,sj,78.6271428571,25.14924,2.75088
1991-09-17,sj,80.8771428571,25.41305,2.38928
1991-09-24,sj,81.4242857143,24.99038,2.27754
1991-10-01,sj,82.4857142857,24.65514,2.32283
1991-10-08,sj,80.5157142857,24.24905,2.28026
1991-10-15,sj,79.3828571429,24.82076,2.52698
1991-10-22,sj,76.7771428571,24.31867,2.56171
1991-10-29,sj,78.9871428571,24.69638,2.62969
1991-11-05,sj,81.0585714286,24.10048,2.45687
1991-11-12,sj,83.5142857143,23.714,2.25354
1991-11-19,sj,75.5485714286,22.88933,2.31582
1991-11-26,sj,81.4857142857,23.21543,2.22677
1991-12-03,sj,80.2757142857,23.48714,2.02535
1991-12-10,sj,78.6214285714,22.85476,2.04754
1991-12-17,sj,72.8614285714,21.82495,2.08832
1991-12-24,sj,76.1271428571,20.81533,2.16436
1992-01-01,sj,78.71357142855,21.74929,2.3562
1992-01-08,sj,81.3,22.68324,2.50324
1992-01-15,sj,84.1171428571,22.67305,2.11341
1992-01-22,sj,78.2914285714,21.75648,2.52641
1992-01-29,sj,75.22,21.46886,2.32289
1992-02-05,sj,77.0585714286,21.57886,2.75002
1992-02-12,sj,82.8757142857,22.77095,2.26892
1992-02-19,sj,77.2957142857,22.77914,2.57878
1992-02-26,sj,76.0371428571,21.90219,2.21104
1992-03-04,sj,76.8785714286,22.13095,2.61503
1992-03-11,sj,78.0571428571,22.42057,2.62537
1992-03-18,sj,77.5057142857,22.51867,2.69096
1992-03-25,sj,80.2385714286,22.54924,2.17844
1992-04-01,sj,78.0671428571,22.61524,2.6363
1992-04-08,sj,76.3757142857,23.19819,2.92457
1992-04-15,sj,84.1842857143,23.31314,2.07022
1992-04-22,sj,78.4257142857,22.93476,2.58188
1992-04-29,sj,74.9328571429,23.156,2.55804
1992-05-06,sj,78.48,23.38524,2.56798
1992-05-13,sj,78.3814285714,23.082,2.09156
1992-05-20,sj,85.6471428571,24.04486,2.40778
1992-05-27,sj,87.3014285714,24.28638,2.16082
1992-06-03,sj,85.8271428571,24.3559,2.31638
1992-06-10,sj,84.87,24.41257,2.26224
1992-06-17,sj,84.2485714286,24.36181,2.26457
1992-06-24,sj,82.7771428571,24.72857,2.2536
1992-07-01,sj,79.3342857143,25.07419,2.30371
1992-07-08,sj,78.4971428571,24.93533,2.42596
1992-07-15,sj,80.15,24.45305,2.08098
1992-07-22,sj,81.9842857143,24.17857,2.24463
1992-07-29,sj,82.3457142857,24.06229,2.24368
1992-08-05,sj,80.7842857143,24.40057,2.20978
1992-08-12,sj,82.75,24.18514,2.46918
1992-08-19,sj,82.3171428571,24.84257,2.37155
1992-08-26,sj,78.8642857143,24.64286,2.38564
1992-09-02,sj,79.2042857143,25.00095,2.49304
1992-09-09,sj,79.93,24.54219,2.23677
1992-09-16,sj,79.5257142857,24.7401,2.41472
1992-09-23,sj,83.7,24.49514,2.40864
1992-09-30,sj,81.2971428571,24.61705,2.45425
1992-10-07,sj,79.7371428571,25.22971,2.8409
1992-10-14,sj,77.8342857143,24.86724,2.63553
1992-10-21,sj,77.8757142857,24.50267,2.52196
1992-10-28,sj,78.91,24.54838,2.63828
1992-11-04,sj,81.0528571429,24.61952,2.52809
1992-11-11,sj,79.0128571429,23.71057,2.36634
1992-11-18,sj,80.2557142857,23.14829,2.24851
1992-11-25,sj,85.5871428571,24.17781,2.25302
1992-12-02,sj,82.6485714286,23.45219,2.35663
1992-12-09,sj,78.3114285714,23.30238,2.39734
1992-12-16,sj,76.6614285714,22.88124,2.81654
1992-12-23,sj,76.7571428571,21.81733,2.13086
1993-01-01,sj,79.31785714285,22.16195,2.12776
1993-01-08,sj,81.8785714286,22.50657,2.12464
1993-01-15,sj,77.1442857143,21.61543,2.22791
1993-01-22,sj,76.9842857143,21.80895,2.4081
1993-01-29,sj,77.8628571429,21.42276,2.09654
1993-02-05,sj,80.61,22.47257,2.46427
1993-02-12,sj,79.8257142857,21.60629,2.36349
